"Country,""2020"",""2019"",""2018"",""2017"",""2016"",""2015"",""2014"",""2013"",""2012"",""2011"",""2010"",""2009"",""2008"",""2007"",""2006"",""2005"""
"Ethiopia,""1077"",""1360"",""1828"",""1490"",""1593"",""1990"",""2705"",""1732"",""2381"",""2032"",""1936"",""1083"",""1356"",""1579"",""2375"",""2585"""
"France,""26"",""22"",""17"",""15"",""8"",""8"",""11"",""8"",""10"",""25"",""5"",""14"",""17"",""22"",""16"",""19"""
"Gambia,""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"""
"Georgia,""42"",""47"",""52"",""38"",""49"",""64"",""55"",""117"",""106"",""123"",""141"",""169"",""171"",""182"",""174"",""160"""
"Greece,""34"",""22"",""51"",""83"",""57"",""64"",""82"",""75"",""47"",""41"",""28"",""28"",""30"",""48"",""35"",""48"""
"Guatemala,""0"",""1"",""4"",""2"",""2"",""2"",""0"",""1"",""0"",""2"",""0"",""1"",""1"",""No data"",""No data"",""No data"""
"Honduras,""0"",""3"",""8"",""8"",""7"",""6"",""2"",""3"",""0"",""7"",""7"",""3"",""3"",""4"",""9"",""7"""
"India,""2033"",""2822"",""4360"",""5758"",""6249"",""8500"",""9241"",""13851"",""20572"",""33155"",""28382"",""24213"",""33598"",""44533"",""39173"",""32803"""
"Iran (Islamic Republic of),""No data"",""72"",""67"",""60"",""61"",""59"",""26"",""81"",""94"",""90"",""91"",""94"",""125"",""153"",""139"",""133"""
"Iraq,""61"",""170"",""259"",""172"",""183"",""427"",""362"",""575"",""1045"",""1167"",""1843"",""1549"",""1041"",""836"",""1434"",""2028"""
"Israel,""0"",""No data"",""1"",""No data"",""1"",""3"",""1"",""5"",""1"",""0"",""1"",""0"",""2"",""2"",""2"",""3"""
"Italy,""29"",""No data"",""72"",""No data"",""49"",""55"",""63"",""62"",""81"",""62"",""71"",""72"",""72"",""104"",""113"",""152"""
"Jordan,""No data"",""2"",""1"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"""
"Kazakhstan,""0"",""0"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""2"",""No data"",""No data"",""0"",""0"",""2"",""0"""
"Kenya,""1178"",""1635"",""590"",""950"",""692"",""894"",""880"",""181"",""457"",""406"",""No data"",""85"",""258"",""35"",""195"",""150"""
"Kyrgyzstan,""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"""
"Lebanon,""0"",""0"",""0"",""0"",""0"",""0"",""0"",""2"",""0"",""0"",""No data"",""0"",""No data"",""No data"",""No data"",""No data"""
"Libya,""24"",""28"",""34"",""18"",""10"",""0"",""1"",""12"",""No data"",""No data"",""No data"",""3"",""3"",""2"",""No data"",""No data"""
"Malta,""1"",""0"",""2"",""5"",""0"",""No data"",""No data"",""0"",""3"",""2"",""No data"",""No data"",""No data"",""No data"",""No data"",""4"""
"Mauritania,""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"""
"Mexico,""0"",""1"",""0"",""1"",""0"",""1"",""0"",""4"",""4"",""0"",""9"",""7"",""9"",""9"",""9"",""3"""
"Monaco,""No data"",""No data"",""1"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"""
"Montenegro,""No data"",""No data"",""No data"",""4"",""6"",""5"",""3"",""4"",""No data"",""No data"",""1"",""3"",""3"",""1"",""4"",""2"""
"Morocco,""67"",""91"",""106"",""106"",""92"",""81"",""85"",""111"",""113"",""107"",""139"",""134"",""163"",""160"",""170"",""114"""
"Nepal,""215"",""185"",""208"",""244"",""237"",""217"",""311"",""325"",""575"",""886"",""708"",""824"",""1371"",""1433"",""1531"",""1463"""
"Nicaragua,""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""1"",""1"",""4"",""1"",""1"",""1"""
"Niger,""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"""
"Nigeria,""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""57"",""0"",""0"",""0"",""0"",""1"",""0"",""2"""
"Oman,""0"",""0"",""0"",""2"",""No data"",""1"",""0"",""No data"",""1"",""0"",""1"",""1"",""0"",""1"",""0"",""2"""
"Pakistan,""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""7"",""7"",""14"",""10"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"""
"Paraguay,""26"",""22"",""19"",""34"",""64"",""92"",""118"",""107"",""76"",""114"",""144"",""82"",""54"",""70"",""66"",""21"""
"Portugal,""No data"",""No data"",""5"",""No data"",""8"",""0"",""0"",""8"",""5"",""13"",""17"",""11"",""14"",""23"",""10"",""13"""
"North Macedonia,""No data"",""No data"",""12"",""9"",""5"",""4"",""11"",""20"",""13"",""2"",""12"",""4"",""7"",""7"",""9"",""7"""
"Romania,""No data"",""No data"",""0"",""1"",""1"",""1"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"""
"Saudi Arabia,""No data"",""0"",""1"",""4"",""4"",""3"",""10"",""5"",""8"",""7"",""8"",""17"",""32"",""41"",""31"",""31"""
"Senegal,""No data"",""0"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"""
"Serbia,""No data"",""No data"",""No data"",""0"",""0"",""0"",""No data"",""2"",""1"",""2"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"""
"Slovenia,""0"",""0"",""0"",""0"",""0"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"""
"Somalia,""471"",""294"",""411"",""857"",""780"",""1165"",""1045"",""936"",""394"",""290"",""No data"",""507"",""583"",""No data"",""No data"",""No data"""
"South Sudan,""827"",""1013"",""1867"",""3567"",""4285"",""2840"",""7472"",""2364"",""5012 4353"",""11862 10468"",""9166"",""1907"",""582"",""758"",""1117"",""3141"""
"Spain,""No data"",""No data"",""No data"",""196"",""176"",""No data"",""106"",""276"",""213"",""235"",""153"",""179"",""193"",""255"",""246"",""199"""
"Sri Lanka,""No data"",""No data"",""No data"",""No data"",""No data"",""0"",""0"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"""
"Sudan,""2563"",""2851"",""2711"",""3894"",""3810"",""2829"",""3415"",""2389"",""5153"",""7418"",""6957"",""4880"",""3310"",""2788"",""1827"",""3713"""
"Syrian Arab Republic,""22"",""47"",""38"",""55"",""25"",""20"",""36"",""30"",""17"",""18"",""19"",""16"",""17"",""11"",""3"",""19"""
"Tajikistan,""No data"",""15"",""32"",""23"",""25"",""26"",""47"",""63"",""46"",""25"",""40"",""53"",""15"",""14"",""19"",""14"""
